name,gender,state,year,num
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
Robert,M,IL,2021,180
Jennifer,F,PA,2022,90
John,M,CA,2020,100
Mary,F,NY,2021,150
James,M,TX,2022,200
Patricia,F,FL,2020,120
